"SKU","Price","Date"
3,109.58,"2009-06-27"
1,139.3,"2009-06-27"
1,159,"2010-01-02"
1,184.8,"2010-01-02"
2,54.75,"2009-06-27"
2,54.75,"2009-06-28"
1,164.84,"2010-01-02"
2,53.43,"2010-01-02"
2,53.14,"2010-01-02"
3,102.24,"2010-01-02"
1,152,"2010-01-02"
2,53.13,"2010-01-02"
2,55.59,"2009-06-28"
1,120.03,"2009-06-28"
2,54.75,"2009-06-28"
2,54.75,"2009-06-28"
1,167.5,"2009-06-28"
2,56.85,"2009-06-28"
2,54.99,"2009-06-28"
2,55.5,"2009-06-28"
1,139.3,"2009-06-28"
2,53.14,"2010-01-02"
1,156.34,"2010-01-03"
2,53.02,"2010-01-03"
1,164.84,"2010-01-03"
2,53.43,"2010-01-03"
2,53.02,"2010-01-03"
3,102.24,"2010-01-03"
1,152,"2010-01-03"
2,53.01,"2010-01-03"
2,53.06,"2010-01-03"
1,167.5,"2009-06-29"
3,109.58,"2009-06-29"
2,54.75,"2009-06-29"
3,115.98,"2009-06-29"
2,55.59,"2009-06-29"
1,120.03,"2009-06-29"
2,54.75,"2009-06-29"
2,54.75,"2009-06-29"
2,56.85,"2009-06-29"
3,109.58,"2009-06-29"
1,139.3,"2009-06-29"
1,164.09,"2010-01-04"
2,53.43,"2010-01-04"
2,52.99,"2010-01-04"
2,54.99,"2009-06-29"
2,55.5,"2009-06-29"
2,52.99,"2010-01-04"
1,183.57,"2010-01-04"
2,52.99,"2010-01-04"
3,94.94,"2010-01-04"
1,152,"2010-01-04"
1,167.5,"2009-06-30"
3,109.58,"2009-06-30"
2,56.85,"2009-06-30"
3,109.58,"2009-06-30"
3,115.98,"2009-06-30"
2,55.59,"2009-06-30"
1,116.43,"2009-06-30"
2,54.75,"2009-06-30"
2,54.75,"2009-06-30"
2,54.75,"2009-06-30"
2,54.99,"2009-06-30"
2,55.5,"2009-06-30"
2,56,"2010-01-06"
1,186.82,"2010-01-06"
2,53.15,"2010-01-04"
1,139.3,"2009-06-30"
2,59.38,"2010-01-06"
1,167.5,"2009-07-01"
3,109.58,"2009-07-01"
1,183.57,"2010-01-06"
2,59.95,"2010-01-06"
2,54.99,"2009-07-01"
2,56,"2010-01-06"
2,54.75,"2009-07-01"
3,115.98,"2009-07-01"
2,55.59,"2009-07-01"
1,116.43,"2009-07-01"
2,54.75,"2009-07-01"
2,54.75,"2009-07-01"
2,55.5,"2009-07-01"
2,54.75,"2009-07-01"
2,59.31,"2010-01-07"
2,56,"2010-01-07"
1,187.22,"2010-01-07"
3,109.58,"2009-07-01"
1,183.84,"2010-01-06"
2,52.48,"2010-01-07"
2,59.38,"2010-01-07"
1,183.84,"2010-01-07"
2,55.5,"2009-07-02"
2,52.49,"2010-01-07"
1,139.3,"2009-07-01"
1,167.5,"2009-07-02"
3,109.58,"2009-07-02"
2,54.74,"2009-07-02"
3,109.58,"2009-07-02"
2,54.99,"2009-07-02"
3,115.98,"2009-07-02"
2,55.59,"2009-07-02"
1,116.43,"2009-07-02"
2,54.74,"2009-07-02"
2,54.75,"2009-07-02"
2,54.74,"2009-07-02"
1,139.3,"2009-07-02"
2,52.5,"2010-01-07"
1,183.57,"2010-01-07"
2,52.41,"2010-01-08"
2,56,"2010-01-08"
1,187.22,"2010-01-08"
2,52.48,"2010-01-08"
3,84.37,"2010-01-08"
1,183.57,"2010-01-08"
2,54.75,"2009-07-02"
2,54.99,"2009-07-03"
3,115.98,"2009-07-03"
2,55.59,"2009-07-03"
1,116.43,"2009-07-03"
2,54.74,"2009-07-03"
2,54.74,"2009-07-03"
1,167.5,"2009-07-03"
3,109.58,"2009-07-03"
2,54.74,"2009-07-03"
3,109.58,"2009-07-03"
1,139.3,"2009-07-03"
2,55.5,"2009-07-03"
2,57.95,"2010-01-08"
2,52.41,"2010-01-08"
2,52.42,"2010-01-08"
1,183.84,"2010-01-08"
3,84.37,"2010-01-09"
1,187.22,"2010-01-09"
2,52.48,"2010-01-09"
2,57.95,"2010-01-09"
2,54.75,"2009-07-03"
2,52.41,"2010-01-09"
2,56,"2010-01-09"
2,54.99,"2009-07-04"
1,183.84,"2010-01-09"
2,52.42,"2010-01-09"
1,167.5,"2009-07-04"
3,109.58,"2009-07-04"
3,115.98,"2009-07-04"
2,55.59,"2009-07-04"
1,116.43,"2009-07-04"
2,54.74,"2009-07-04"
2,54.74,"2009-07-04"
2,54.74,"2009-07-04"
3,109.58,"2009-07-04"
1,139.3,"2009-07-04"
1,183.57,"2010-01-09"
2,55.5,"2009-07-04"
2,52.41,"2010-01-09"
2,55.5,"2009-07-05"
3,115.98,"2009-07-05"
2,55.59,"2009-07-05"
1,116.43,"2009-07-05"
2,54.74,"2009-07-05"
2,54.74,"2009-07-05"
2,54.75,"2009-07-04"
2,54.99,"2009-07-05"
1,167.5,"2009-07-05"
3,109.58,"2009-07-05"
2,54.74,"2009-07-05"
3,109.58,"2009-07-05"
2,54.99,"2010-01-11"
2,52.35,"2010-01-11"
2,56,"2010-01-11"
2,54.75,"2009-07-05"
2,54.75,"2009-07-06"
3,115.98,"2009-07-06"
2,55.59,"2009-07-06"
1,116.43,"2009-07-06"
2,57.07,"2010-01-11"
2,49.99,"2010-01-11"
1,139.3,"2009-07-05"
2,54.99,"2009-07-06"
1,167.5,"2009-07-06"
3,109.58,"2009-07-06"
2,54.74,"2009-07-06"
2,54.74,"2009-07-06"
2,55.5,"2009-07-06"
2,54.74,"2009-07-06"
3,109.58,"2009-07-06"
